state,metric,units,year,value
Alabama,num_farms,number,2022,37400
Alabama,num_farms,number,2023,37100
Alabama,land_in_farms,"1,000 acres",2022,8600
Alabama,land_in_farms,"1,000 acres",2023,8600
Alabama,avg_farm_size,acres,2022,230
Alabama,avg_farm_size,acres,2023,232
Alaska,num_farms,number,2022,1200
Alaska,num_farms,number,2023,1200
Alaska,land_in_farms,"1,000 acres",2022,870
Alaska,land_in_farms,"1,000 acres",2023,870
Alaska,avg_farm_size,acres,2022,725
Alaska,avg_farm_size,acres,2023,725
Arizona,num_farms,number,2022,16700
Arizona,num_farms,number,2023,16400
Arizona,land_in_farms,"1,000 acres",2022,25500
Arizona,land_in_farms,"1,000 acres",2023,25000
Arizona,avg_farm_size,acres,2022,1527
Arizona,avg_farm_size,acres,2023,1524
Arkansas,num_farms,number,2022,37800
Arkansas,num_farms,number,2023,37400
Arkansas,land_in_farms,"1,000 acres",2022,13700
Arkansas,land_in_farms,"1,000 acres",2023,13700
Arkansas,avg_farm_size,acres,2022,362
Arkansas,avg_farm_size,acres,2023,366
California,num_farms,number,2022,63100
California,num_farms,number,2023,62900
California,land_in_farms,"1,000 acres",2022,24200
California,land_in_farms,"1,000 acres",2023,23800
California,avg_farm_size,acres,2022,384
California,avg_farm_size,acres,2023,378
Colorado,num_farms,number,2022,36100
Colorado,num_farms,number,2023,35900
Colorado,land_in_farms,"1,000 acres",2022,30200
Colorado,land_in_farms,"1,000 acres",2023,30000
Colorado,avg_farm_size,acres,2022,837
Colorado,avg_farm_size,acres,2023,836
Connecticut,num_farms,number,2022,5100
Connecticut,num_farms,number,2023,5100
Connecticut,land_in_farms,"1,000 acres",2022,370
Connecticut,land_in_farms,"1,000 acres",2023,370
Connecticut,avg_farm_size,acres,2022,73
Connecticut,avg_farm_size,acres,2023,73
Delaware,num_farms,number,2022,2150
Delaware,num_farms,number,2023,2150
Delaware,land_in_farms,"1,000 acres",2022,520
Delaware,land_in_farms,"1,000 acres",2023,520
Delaware,avg_farm_size,acres,2022,242
Delaware,avg_farm_size,acres,2023,242
Florida,num_farms,number,2022,44700
Florida,num_farms,number,2023,44400
Florida,land_in_farms,"1,000 acres",2022,9700
Florida,land_in_farms,"1,000 acres",2023,9700
Florida,avg_farm_size,acres,2022,217
Florida,avg_farm_size,acres,2023,218
Georgia,num_farms,number,2022,39200
Georgia,num_farms,number,2023,39000
